time,node_id,rssi
137.248,54,-92.0
137.498,54,-92.0
137.748,53,-85.0
137.999,53,-85.0
138.249,53,-81.0
138.249,52,-91.0
138.499,52,-91.0
138.499,53,-81.0
138.66,2,
140.002,53,-77.0
140.252,53,-77.0
140.502,53,-77.0
140.582,2,
140.753,55,-95.0
140.753,53,-81.0
141.003,55,-95.0
141.003,53,-81.0
141.253,45,-94.0
141.253,53,-86.0
141.504,45,-94.0
141.504,53,-86.0
141.754,45,-91.0
142.004,45,-91.0
142.255,45,-91.0
142.505,45,-91.0
142.665,2,
142.755,53,-94.0
143.006,53,-94.0
144.648,2,
145.259,56,-90.0
145.509,56,-90.0
145.76,45,-81.0
146.01,45,-81.0
146.261,45,-83.0
146.511,45,-83.0
146.621,2,
147.262,45,-87.0
147.512,45,-87.0
148.263,57,-88.0
148.514,57,-88.0
148.634,2,
149.265,45,-83.0
149.265,56,-92.0
149.515,56,-92.0
149.515,45,-83.0
149.766,45,-84.0
150.016,45,-84.0
150.266,45,-85.0
150.517,45,-85.0
150.617,2,
150.767,45,-87.0
151.017,45,-87.0
151.768,45,-81.0
152.019,45,-81.0
152.269,45,-84.0
152.52,45,-84.0
152.65,2,
153.771,45,-80.0
154.022,45,-80.0
154.623,2,
154.773,45,-84.0
155.023,45,-84.0
155.273,45,-84.0
155.524,45,-81.0
155.774,45,-81.0
156.525,45,-78.0
156.605,2,
156.776,45,-78.0
157.527,45,-78.0
157.777,45,-78.0
158.027,45,-78.0
158.278,45,-69.0
158.528,45,-69.0
158.658,2,
158.779,45,-69.0
159.029,45,-68.0
159.279,45,-68.0
159.53,45,-78.0
159.78,45,-78.0
160.03,45,-73.0
160.281,45,-73.0
160.531,45,-82.0
160.611,2,
160.781,45,-82.0
161.032,45,-84.0
161.282,45,-84.0
162.684,2,
162.784,45,-87.0
162.784,37,-94.0
163.035,45,-87.0
163.035,37,-94.0
163.285,37,-92.0
163.285,45,-87.0
163.535,45,-87.0
163.535,37,-92.0
163.786,45,-85.0
163.786,37,-88.0
164.036,45,-85.0
164.036,37,-88.0
164.286,45,-88.0
164.286,44,-90.0
164.286,37,-87.0
164.537,37,-87.0
164.537,44,-90.0
164.537,45,-88.0
164.637,2,
164.787,42,-88.0
164.787,58,-85.0
164.787,37,-86.0
165.038,37,-86.0
165.038,42,-88.0
165.038,58,-85.0
165.288,42,-88.0
165.288,58,-85.0
165.288,37,-86.0
165.538,44,-85.0
165.538,58,-82.0
165.538,37,-94.0
165.538,42,-86.0
165.789,44,-85.0
165.789,37,-94.0
165.789,58,-82.0
165.789,42,-86.0
166.039,44,-88.0
166.039,37,-90.0
166.039,59,-87.0
166.289,59,-87.0
166.289,44,-88.0
166.289,37,-90.0
166.54,44,-84.0
166.54,37,-87.0
166.6,2,
166.79,44,-84.0
166.79,37,-87.0
167.04,43,-92.0
167.04,37,-92.0
167.04,42,-89.0
167.291,43,-92.0
167.291,42,-89.0
167.291,37,-92.0
167.541,37,-92.0
167.541,43,-92.0
167.541,42,-89.0
167.791,42,-86.0
168.042,42,-86.0
168.292,42,-86.0
168.543,44,-85.0
168.693,2,
168.793,44,-85.0
169.043,44,-85.0
169.294,44,-85.0
169.544,44,-85.0
169.794,44,-85.0
170.616,2,
170.796,47,-92.0
171.046,47,-92.0
171.297,47,-89.0
171.547,47,-89.0
171.797,47,-90.0
172.048,47,-90.0
172.298,43,-85.0
172.548,43,-85.0
172.608,2,
172.799,47,-93.0
173.059,47,-93.0
173.309,47,-94.0
173.56,47,-94.0
173.81,43,-84.0
174.061,43,-84.0
174.311,43,-78.0
174.571,43,-78.0
174.631,2,
174.822,43,-80.0
175.072,43,-80.0
175.322,43,-80.0
175.573,47,-92.0
175.823,47,-92.0
176.073,47,-92.0
176.324,43,-72.0
176.324,60,-90.0
176.574,60,-90.0
176.574,43,-72.0
176.674,2,
176.824,43,-72.0
176.824,60,-90.0
177.075,43,-80.0
177.075,47,-91.0
177.325,43,-80.0
177.325,47,-91.0
177.576,43,-80.0
177.576,47,-91.0
177.826,47,-87.0
177.826,43,-78.0
178.076,43,-78.0
178.076,47,-87.0
178.327,47,-94.0
178.577,47,-94.0
178.717,2,
178.827,43,-82.0
178.827,60,-88.0
178.827,47,-89.0
179.078,60,-88.0
179.078,47,-89.0
179.078,43,-82.0
179.328,43,-84.0
179.328,47,-88.0
179.578,43,-84.0
179.578,47,-88.0
179.829,43,-84.0
179.829,47,-88.0
180.079,60,-90.0
180.079,43,-87.0
180.079,61,-91.0
180.33,43,-87.0
180.33,61,-91.0
180.33,60,-90.0
180.58,62,-92.0
180.58,60,-86.0
180.69,2,
180.83,62,-92.0
180.83,60,-86.0
181.081,60,-86.0
181.081,62,-92.0
181.331,63,-92.0
181.331,64,-90.0
181.331,60,-80.0
181.581,60,-80.0
181.581,63,-92.0
181.581,64,-90.0
181.832,63,-92.0
181.832,60,-80.0
181.832,64,-90.0
182.082,60,-81.0
182.082,62,-89.0
182.082,64,-88.0
182.332,60,-81.0
182.332,64,-88.0
182.332,62,-89.0
182.583,64,-92.0
182.583,62,-80.0
182.583,60,-82.0
182.693,2,
